subscription_start_date,subscription_length_days,subscription_plan,monthly_price,billing_cycle,payment_method,total_watch_time_hours,sessions_count,avg_session_duration_minutes,days_since_last_watch,unique_titles_watched,content_completion_rate,abandoned_series_count,binge_sessions_count,primary_genre,genres_watched_count,content_type_preference,new_content_ratio,primary_device,devices_used_count,primary_os,has_profile,number_of_profiles,watchlist_size,ratings_given_count,reviews_written_count,downloads_count,support_tickets_count,payment_failures_count,account_on_hold,used_free_trial,subscription_length_months,current_month,days_until_next_billing,genres_watched,devices_used,support_ticket_reasons,will_churn
2023-03-13,659,standard,15.99,monthly,paypal,5.170819869940478,3.015886697670732,103.97449977282324,4.971186669394835,4.711313671010658,0.11584450932576518,2,0,Documentary,5,movies,0.09130356886576652,mobile,2,iOS,0,1,19.171024415176483,4.0,2.0,1,0,0,0,0,21,12,15,"Thriller, Anime, Drama, Sports, Horror","smart_tv, mobile",,0
2020-02-15,1781,student,7.99,monthly,credit_card,173.00589252005437,87.40849353518107,116.887514576443,2.6148601984259754,47.00315057568857,0.7892421412902222,2,7,Drama,2,movies,0.11353180475361721,game_console,4,Android,0,1,13.376992414289024,1.0,1.0,3,1,1,0,1,59,12,9,"Drama, Sci-Fi","mobile, desktop, tablet, game_console",content_request,0
2021-05-17,1324,premium,19.99,monthly,credit_card,177.95032617118724,109.0,93.38999652746953,1.9194627304486034,17.300109628295104,0.49129871108148077,3,4,Comedy,2,movies,0.358114991572878,tablet,4,tvOS,1,2,17.194594687324262,12.0,1.0,7,0,0,0,1,44,12,17,"Comedy, Horror","desktop, smart_tv, streaming_device, mobile",,0
2021-02-11,1419,premium,19.99,monthly,paypal,29.313554931015833,6.723147814233528,187.9941385687969,3.5373310167330634,11.01689171586753,0.16223441229400035,1,0,Comedy,2,movies,0.1827290787408486,game_console,3,tvOS,1,1,6.217699445225782,3.0,1.0,3,0,0,0,0,47,12,20,"Horror, Drama","tablet, game_console, mobile",,0
2023-09-06,482,basic,9.99,monthly,debit_card,8.381126835010296,4.719064817480171,100.28851912061634,8.16693447447961,3.883084905826239,0.2195250427295325,2,0,Action,2,both,0.2054351446930073,tablet,3,iOS,0,1,16.833277949227003,4.0,0.0,1,1,0,0,1,16,12,18,"Thriller, Documentary","mobile, smart_tv, tablet",,1
2023-05-20,591,basic,9.99,annual,paypal,50.196267608846476,28.132732796920358,100.01203100580167,2.6599928859932813,21.448150892241586,0.21867180234561676,2,2,Action,4,movies,0.4781047871958128,tablet,2,iOS,1,1,17.10375418256391,7.0,1.0,6,0,0,0,0,19,12,18,"Comedy, Sci-Fi, Action, Documentary","game_console, mobile",,0
2024-06-17,197,basic,9.99,monthly,bank_transfer,3.3732772965341513,3.266802248626063,60.40606481005091,6.060853016939344,2.0293330696499443,0.7182500136764965,3,0,Action,3,movies,0.355634868937526,streaming_device,1,Xbox,0,2,13.754180996303122,6.0,0.0,3,0,0,0,1,6,12,4,"Sci-Fi, Comedy, Horror",desktop,,0
2020-06-07,1668,family,24.99,monthly,credit_card,47.08212228706943,27.073749295898327,88.82270125390325,4.44453258641344,16.367602496264954,0.7904876847184265,0,3,Thriller,6,movies,0.5350089695660835,mobile,5,Windows,0,4,17.17531712432594,1.0,1.0,1,1,0,0,0,55,12,11,"Anime, Sports, Reality, Romance, Drama, Sci-Fi","desktop, smart_tv, game_console, streaming_device, mobile",,0
2022-02-09,1056,premium,19.99,annual,paypal,38.68553365921897,23.46689166096707,115.64297239195848,12.39395547981572,11.60506776764183,0.7946532486602466,4,5,Comedy,3,tv_shows,0.6586330546170537,mobile,2,macOS,1,2,20.84288825682592,4.0,0.0,5,0,0,0,1,35,12,24,"Romance, Anime, Action","smart_tv, mobile",,0
2020-02-24,1772,premium,19.99,annual,credit_card,9.902426775752334,7.032841001508345,85.0226901688921,2.942513183906112,4.10654248400967,0.5903359326643427,2,0,Drama,3,tv_shows,0.40145422936250885,smart_tv,1,iOS,1,2,20.29305676219592,5.0,1.0,3,1,0,0,0,59,12,11,"Sci-Fi, Anime, Action",tablet,content_request,0
